Title,Condition,Buy Price,Author,Publisher,ISBN
Penrod and Sam,Very Good,15.19,Booth Tarkington,Indiana University Press,0253215943
Good as Gold,Good,4.79,Joseph Heller,Simon & Schuster,0684839741
Marcella: A Raggedy Ann Story (Raggedy Ann),Good,4.79,Johnny Gruelle,Simon & Schuster Books for Young Readers,0689828780
Five Children and It / The Phoenix and the Carpet / The Story of the Amulet,New,31.99,E. Nesbit,Read & Co. Children's,1528713370
The Expedition of Humphry Clinker,Good,8.59,Tobias Smollett,Oxford University Press,0199538980
Unconditional Surrender,Good,10.59,Evelyn Waugh,Back Bay Books,0316216739
Battlestar Galactica,Good,9.19,Robert Thurston,iBooks,074344485X
Mosquitoes,Good,9.29,William Faulkner,Vintage Books,0593470982
Zora Neale Hurston: Novels & Stories,Good,20.39,Zora Neale Hurston,Library of America,0940450836
À la recherche du temps perdu,New,62.31,Marcel Proust,Modern Library,0812969642
Mountolive,Good,5.19,Lawrence Durrell,Penguin Publishing Group,0140153209
Mother West Wind's Neighbors,Good,4.39,Thornton W. Burgess,Dover Publications,048642846X
Joseph und seine Brüder,Good,20.09,Thomas Mann,Everyman's Library,1400040019
Stories From the Blue Moon Cafe,Good,5.19,Tom Franklin,New American Library,0451210425
Машенька,Good,8.49,Vladimir Nabokov,Knopf Doubleday Publishing Group,0679726209
Tales From Shakespeare,Good,5.39,William Shakespeare,Scholastic Press,0439321077
Slan,Good,5.99,A.E. van Vogt,Orb Books,0312852363
Novels and Stories: The Call of the Wild / White Fang / The Sea-Wolf / Klondike and Other Stories,Good,7.99,Jack London,Library of America,0940450054
The Manticore,Good,13.79,Robertson Davies,Penguin Publishing Group,014303913X
Moby Dick / Billy Budd,Good,7.09,Herman Melville,Octopus,0706420969
Bring the Jubilee,Like New,10.49,Ward Moore,Wildside Press,143447853X
Soldiers' Pay,Good,8.59,William Faulkner,Vintage Books,0593470966
The Price of the Ticket,Very Good,315.29,James Baldwin,St. Martin's Press,0312643071
"Король, дама, валет",Good,6.09,Vladimir Nabokov,Vintage,0679723404
"The Nigger of the ""Narcissus""",Like New,11.09,Joseph Conrad,Createspace Independent Publishing Platform,1976185602
Die Wahlverwandtschaften,Good,10.49,Johann Wolfgang von Goethe,Oxford University Press,0199555362
Reporting World War II Vol. 1: American Journalism 1938-1944 (Library of America),Good,5.49,,Library of America,1883011043
Show Boat,Very Good,9.09,Edna Ferber,Knopf Doubleday Publishing Group,0345805739
The Heart of Midlothian,Very Good,7.99,Walter Scott,Oxford University Press,0199538395
A Sentimental Journey through France and Italy,Good,5.39,Laurence Sterne,Penguin Group,0140437797
In Search of a Homeland : The Story of the Aeneid,Good,50.39,Penelope Lively,Lincoln Children's Books,184507792X
"Капитанская дочка, Пиковая дама, Дубровский, Арап Петра Великого, Станционный смотритель, Метель",Good,9.39,Alexander Pushkin,Knopf Doubleday Publishing Group,0307949656
La Vie devant soi,Very Good,11.29,Romain Gary,New Directions Publishing Corporation,0811232417
War And Peace(Illustrated),Acceptable,8.29,Leo Tolstoy,100 Page Summaries,1939370051
Raintree County,Good,8.99,Ross Lockridge Jr.,Dell,B0007F2WKE
The Blood of Others,Very Good,16.19,Simone de Beauvoir,Pantheon Books,0394724119
Typee / Omoo / Mardi,Acceptable,21.49,Herman Melville,CreateSpace Independent Publishing Platform,1719044252
Chéri,Good,4.99,Colette,Dover Publications,0486415996
Guys and Dolls: The Stories of Damon Runyon,Good,5.59,Damon Runyon,Penguin Group,0140176594
The Picture of Dorian Gray and Other Works,Good,6.89,Oscar Wilde,Fall River Press,1435154045
Long and Happy Life,Good,4.89,Reynolds Price,Scribner Book Company,1439109346
"The Ramona Collection, Vol. 2: Ramona and Her Mother / Ramona and Her Father / Ramona Forever / Ramona's World",New,29.3,Beverly Cleary,HarperCollins,0061246484
The Scarlet Letter,Good,23.79,Nathaniel Hawthorne,Library of America,0940450089
Jack London: The Call of the Wild; White Fang; The Sea-Wolf; 40 Short Stories,Good,15.09,Jack London,Random House Value Publishing,0517413787
Tarzan Triumphant,Good,7.39,Edgar Rice Burroughs,Ace,B000EZRMAM
The Awkward Age,Good,6.29,Henry James,Penguin Books,0140432973
A Tree for Peter,New,12.99,Kate Seredy,Purple House Press,1930900805
"Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell, My Lovely / The High Window",New,33.88,Raymond Chandler,Library of America,1883011078
Clea,Good,5.09,Lawrence Durrell,Penguin Publishing Group,0140153225
The Witches' Companion,Acceptable,13.79,Katherine Ramsland,Ballantine Books,0345406249
Green Light,Acceptable,20.99,Lloyd C. Douglas,Benediction Books,1849026246
Märchen,Acceptable,9.49,E.T.A. Hoffmann,Continuum,082640264X
"Licks of Love: Short Stories and a Sequel, ""Rabbit Remembered""",Good,4.39,John Updike,Random House Publishing Group,0345442016
Tarzan the Invincible,Acceptable,6.59,Edgar Rice Burroughs,Ballantine Apr. 1970,0345019083
Billard um halb zehn,Good,19.19,Heinrich Böll,Melville House Publishing,1935554182
A Week on the Concord and Merrimack Rivers / Walden / The Maine Woods / Cape Cod,Good,7.39,Henry David Thoreau,Library of America,0940450275
Omoo: A Narrative of Adventures in the South Seas,New,19.65,Herman Melville,Penguin Publishing Group,0143104926
The Dunwich Horror,New,25.49,H.P. Lovecraft,Design Studio Press,1624650775
Tarzan and the Lost Empire,Acceptable,6.59,Edgar Rice Burroughs,Ace Books,B00087DKU2
Tales of Horror,Good,11.39,H.P. Lovecraft,Canterbury Classics,1607109328
The War Prayer,Good,4.19,Mark Twain,Harper Perennial,0060911131
Storm (California Legacy),New,14.82,George R. Stewart,New York Review of Books,1681375184
The Thundering Herd,Good,5.79,Zane Grey,Bison Books,0803270658
Great Expectations,Very Good,5.69,Charles Dickens,Random House Children's Books,0679874666
Tarzan the Magnificent,Acceptable,7.39,Edgar Rice Burroughs,Ballantine Books,B000WR1I66
Rosshalde,Acceptable,8.09,Hermann Hesse,Picador USA,0312422296
Tarzan and the Ant Men,Acceptable,7.09,Edgar Rice Burroughs,Positronic Publishing,1515443639
Portrait of Jennie,Good,18.79,Robert Nathan,Laurel-Leaf Books by Dell Publlishing Co.,0440970520
Quiet Days in Clichy,Good,5.79,Henry Miller,Grove Press,080213016X
Trois contes: Un coeur simple; La légende de Saint-Julien l'Hospitalier; Hérodias,Good,7.09,Gustave Flaubert,Penguin Group,0140448004
Carmen,Very Good,19.29,Prosper Mérimée,Dover Publications,0486258203
Losing Battles,Very Good,5.69,Eudora Welty,Knopf Publishing Group,0679728821
Bless the Beasts and Children,Acceptable,3.99,Glendon Swarthout,Simon & Schuster,0743493699
Time Must Have a Stop,Good,9.09,Aldous Huxley,Dalkey Archive Press,1564781801
"The Best of the West: Anthology of Classic Writing From the American West, An",Very Good,5.59,Tony Hillerman,Harper Perennial,0060923520
Castle Richmond,Good,5.59,Anthony Trollope,Penguin Group,0140438084
In Mad Love and War (Wesleyan Poetry),Good,5.09,Joy Harjo,Wesleyan University Press,081951182X
Redburn / White-Jacket / Moby-Dick,Good,11.09,Herman Melville,Library of America,0940450097
The Fifth Column & Four Stories of the Spanish Civil War,Good,6.69,Ernest Hemingway,Scribner Book Company,0684839261
Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback / Double Indemnity (screenplay) / Selected Essays and Letters,Good,15.69,Raymond Chandler,Library of America,1883011086
Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback / Double Indemnity (screenplay) / Selected Essays and Letters,Good,15.69,Raymond Chandler,Library of America,1883011086
The Sword of Honour Trilogy,Very Good,25.89,Evelyn Waugh,Back Bay Books,0316216690
The Passing: Stories,Very Good,5.09,Ferrol Sams,Taylor Trade Publishing,0929264312
The Rector of Justin,Good,4.59,Louis Auchincloss,Harper Perennial,0618224890
"Liberal Imagination: Essays on Literature and Society. Reprint of the 1950 Ed (Trilling, Lionel, Works.)",Like New,9.49,Lionel Trilling,New York Review of Books,1590172833
Dodsworth,Good,11.09,Sinclair Lewis,Classy Publishing,9355220030
Arc de Triomphe,Acceptable,11.19,Erich Maria Remarque,Random House Group,0449912450
Fiabe,Good,11.99,Hans Christian Andersen,Taschen,3836526751
Later Novels: A Lost Lady / The Professor’s House / Death Comes for the Archbishop / Shadows on the Rock / Lucy Gayheart / Sapphira and the Slave Girl,Good,12.89,Willa Cather,Library of America,0940450526
Les Dieux ont soif,New,13.65,Anatole France,Digireads.com,1420947761
Three Soldiers,Good,6.49,John Dos Passos,Penguin Publishing Group,0141180277
Tarzan's Quest,Good,7.09,Edgar Rice Burroughs,Ballantine Books,0345259599
Kalki,Good,7.59,Gore Vidal,Ballantine Books,0345278739
Tarzan and the Castaways (Tarzan 24),Like New,10.89,Edgar Rice Burroughs,Zinc Read,9358077026
Main Street / Babbitt,Good,10.19,Sinclair Lewis,Library of America,0940450615
The Arabian Nights,Good,5.59,,Random House Value Publishing,0517619342
Le Sursis,Acceptable,6.99,Jean-Paul Sartre,Knopf Doubleday Publishing Group,0679740783
Blues,Very Good,4.69,John Hersey,Knopf Publishing Group,0394757025
A Shooting Star,Good,4.39,Wallace Stegner,Penguin Publishing Group,014025241X
"The History of Henry Esmond, Esq., A Colonel in the Service of Her Majesty Queen Anne",Very Good,50.89,William Makepeace Thackeray,Pomona Press,1443733652
Novels: The House of Mirth / The Reef / The Custom of the Country / The Age of Innocence,Good,13.29,Edith Wharton,Library of America,0940450313
Tarzan and the Lion-Man,New,32.27,Edgar Rice Burroughs,"Edgar Rice Burroughs, Inc.",1951537165
"France and England in North America, Volume 1: Pioneers of France in the New World / The Jesuits in North America in the Seventeenth Century / La Salle and the Discovery of the Great West / The Old Re",Good,7.39,Francis Parkman,Library of America,0940450100
East Lynne,Acceptable,10.89,Mrs. Henry Wood,Oxford University Press,0199536031
Les Chants de Maldoror,New,15.41,Comte de Lautréamont,New Directions Publishing Corporation,0811200825
The Three Clerks,Good,6.89,Anthony Trollope,Dover Publications,0486240991
Mr Moto: 4 Complete Novels,Good,8.29,John P. Marquand,Random House Value Publishing,0517421844
The Border Legion,Acceptable,4.89,Zane Grey,Center Point,1585474045
King Coal,Like New,17.09,Upton Sinclair,Bottom of the Hill Publishing,1483704769
The Man from the Sea: A Classic British Mystery,Good,6.29,Michael Innes,HarperCollins,0060805919
Brazil,Good,4.29,John Updike,Random House Trade,0449911632
The Wind off the Small Isles,New,15.71,Mary Stewart,Hodder & Stoughton,147364125X
Ten North Frederick,Good,15.79,John O'Hara,Penguin Publishing Group,0143107100
The Bobbsey Twins at Cedar Camp,Good,9.39,Laura Lee Hope,SMK Books,1617204714
The Devil's Advocate,Acceptable,26.39,Taylor Caldwell,Jove Books,051505092X
The Belton Estate,Very Good,19.99,Anthony Trollope,Sovereign,1787247589
Her Father's Daughter,Very Good,18.79,Gene Stratton-Porter,Norilana Books,1934648620
Michel Strogoff,Very Good,21.39,Jules Verne,Book Jungle,1605976180
The Story of Sir Launcelot and His Companions,New,28.69,Howard Pyle,Positronic Publishing,1515421694
Jules Verne,New,19.93,Jules Verne,Canterbury Classics,1607103176
The Mother's Recompense,Good,5.39,Edith Wharton,Scribner Book Company,0684825317
New Journalism,Good,14.99,Tom Wolfe,HarperCollins Publishers,0060471832
The Professor of Desire,Good,4.99,Philip Roth,Knopf Doubleday Publishing Group,0679749004
L'Aventure ambiguë,Good,6.89,Cheikh Hamidou Kane,Heinemann Educational Books,0435901192
Under A Glass Bell,Very Good,13.39,Anaïs Nin,Ohio University Press,0804011478
"France and England in North America, Volume 2: Count Frontenac and New France under Louis XIV / A Half-Century of Conflict / Montcalm and Wolfe",Good,7.39,Francis Parkman,Library of America,0940450119
"Zuckerman Bound : The Ghost Writer, Zuckerman Unbound, the Anatomy Lesson, Epilogue : The Prague Orgy",Good,6.89,Philip Roth,Farrar Straus Giroux,0374518998
Love and Death (Folio Society),Good,7.69,Isabel Florence Hapgood,Oxford University Press,0199540403
Northanger Abbey and Persuasion,Good,6.89,Henry Austin Dobson,Academic,0192547054
Sunshine Sketches of a Little Town,Very Good,18.69,Stephen Leacock,Alpha Edition,9352971191
Black Mischief,Very Good,17.09,Evelyn Waugh,Back Bay Books,0316216755
Nabokov's Dozen: A Collection of Thirteen Stories‏,Acceptable,10.59,Vladimir Nabokov,Penguin Group,024130248X
Port William Novels & Stories (The Civil War to World War II): Nathan Coulter / Andy Catlett: Early Travels / A World Lost / A Place on Earth / Stories,Very Good,27.09,Wendell Berry,Library of America,1598535544
The Winter People,Good,11.29,John Ehle,Press 53 Carolina Classics Editions,1941209696
Sibyllan,Good,6.79,Pär Lagerkvist,Vintage,0394702409
La Mort dans l'âme,Very Good,6.99,Jean-Paul Sartre,Knopf Doubleday Publishing Group,0679740791
How to Save Your Own Life,Acceptable,6.59,Erica Jong,Bloomsbury Publishing,0747531595
Raggedy Ann and Andy and the Camel with the Wrinkled Knees (Raggedy Ann),Good,5.39,Johnny Gruelle,Little Simon,0689857756
Emma / Northanger Abbey / Pride and Prejudice / Sense and Sensibility,,0.0,Jane Austen,Canterbury Classics,1607103117
Big Woods,Good,5.49,William Faulkner,Knopf Doubleday Publishing Group,0679752528
Miss Lonelyhearts,Good,8.69,Nathanael West,New Directions Publishing Corporation,0811220931
Galactic Derelict,Acceptable,6.39,Andre Norton,Ace Books,0441272290
Fear Itself: The Horror Fiction of Stephen King,Acceptable,11.49,Stephen King,Plume Books,0452255279
Tales from the Decameron of Giovanni Boccaccio,Good,8.79,Giovanni Boccaccio,Penguin Group,0141191333
The Birds Fall Down,Good,8.99,Rebecca West,Pan Books,0330300377
The Building of Jalna,Good,7.89,Mazo de la Roche,"Little, Brown",B000MCAT0W
The Genius and the Goddess,New,14.47,Aldous Huxley,Harper Perennial,0061724904
Tarzan and the City of Gold,New,29.38,Edgar Rice Burroughs,"Edgar Rice Burroughs, Inc.",1951537157
Kings Row,Good,18.49,Henry Bellamann,Hastings College Press,1942885849
The New Left: The Anti-Industrial Revolution,Good,6.59,Ayn Rand,Plume Books,0452011256
Nuns and Soldiers,Acceptable,9.49,Iris Murdoch,Penguin Publishing Group,0142180092
The Vivisector,New,22.8,Patrick White,Penguin Publishing Group,0143105671
Scarlet Sister Mary (Brown Thrasher Books),Very Good,13.49,Julia Peterkin,University of Georgia Press,0820323772
Set This House on Fire,Good,5.39,William Styron,Vintage,0679736743
Pieces of the Frame,Good,5.19,John McPhee,"Farrar, Straus and Giroux",0374514984
Pincher Martin,Acceptable,8.89,William Golding,Faber & Faber,0571322743
"Collected Tales, Sketches, Speeches, & Essays 1891–1910",Good,5.49,Mark Twain,Library of America,0940450739
The Knockout Artist,New,15.12,Harry Crews,Penguin Classics,014313793X
Mathilda,Very Good,16.09,Mary Wollstonecraft Shelley,Megalodon Entertainment LLC.,1615890009
The Works of Jules Verne: Twenty Thousand Leagues Under the Sea/a Journey to the Center of the Earth/Around the World in Eighty Days/3 Books in 1,Good,9.99,Jules Verne,Everyman's Library,0307961486
In the Land of the Grasshopper Song: Story of Two Girls in Indian Country in 1908-09,Good,12.39,Mary Ellicott Arnold,Bison Books,0803236379
Scamp (A Little Golden Book),Like New,5.49,Annie North Bedford,Golden/Disney,0736423117
The Wapshot Scandal,Good,5.99,John Cheever,Harper Perennial Modern Classics,0060528885
Sanatorium pod Klepsydra,Acceptable,30.39,Bruno Schulz,Mariner Books,0395860237
27 Wagons Full of Cotton,Very Good,4.99,Tennessee Williams,New Directions Publishing Corporation,0811202259
The Daring Young Man on the Flying Trapeze: And Other Stories,New,15.08,William Saroyan,New Directions Publishing Corporation,081121365X
H.G. Wells: Six Novels,New,20.48,H.G. Wells,Canterbury Classics,1607104962
A Tale Of Two Cities(Illustrated),Good,4.69,Charles Dickens,Addison Wesley Publishing Company,0140815058
Sir Percy Leads the Band,New,12.6,Emmuska Orczy,Must Have Books,1773236172
Bosnian Chronicle,Acceptable,6.89,Ivo Andrić,Arcade Pub,1559702362
Vino e pane,Good,4.59,Ignazio Silone,Signet Book,0451529782
Bekenntnisse des Hochstaplers Felix Krull,Good,4.59,Thomas Mann,Knopf Doubleday Publishing Group,0679739041
Cockpit,Good,4.39,Jerzy Kosiński,Grove Press,0802135684
The Dean's December,Good,4.39,Saul Bellow,Washington Square Press,067145806X
Complete Novels and Stories: At Fault / Bayou Folk / A Night in Acadie / The Awakening / Uncollected Stories,New,27.76,Kate Chopin,Library of America,1931082219
The Case of Jennie Brice,New,8.78,Mary Roberts Rinehart,Createspace Independent Publishing Platform,1541086473
Drums (Scribner's Illustrated Classics),Good,7.69,James Boyd,Atheneum Books,0689801769
The Things They Carried / In The Lake Of The Woods,New,18.62,Tim O'Brien,Mariner Books,0547577516
The Vanishing American,Good,7.39,Zane Grey,Bibliotech Press,1636373402
A Word Child,Very Good,18.29,Iris Murdoch,Open Road Integrated Media LLC,1453201157
Wolf,Good,12.19,Albert Payson Terhune,Brunton Press,1447472497
The Moneychangers,Very Good,7.79,Upton Sinclair,Prometheus Books,1573929018
The Adventures of Sherlock Holmes and Other Stories (Leather-bound Classics),Good,6.99,Arthur Conan Doyle,Canterbury Classics,1607102110
Novels and Social Writings,Good,8.39,Manuel London,Library of America,0940450062
Вешние воды,Very Good,14.69,Ivan Turgenev,"Farrar, Straus and Giroux",0374526621
Lees Lieutenants Volume 1 (Vol 1. Repr ed) (1st of a 3 Vol Set),Good,5.59,Douglas Southall Freeman,Scribner Book Company,0684187485
Kinfolk,Like New,10.09,Pearl S. Buck,Moyer Bell,1559211563
Poetry and Tales,New,30.82,Edgar Allan Poe,Library of America,0940450186
The Big Green Book,Good,8.69,Robert Graves,HarperCollins,0062644831
Giving Good Weight,Good,4.69,John McPhee,"Farrar, Straus and Giroux",0374516006
O. Henry: Collected Stories of.,Good,5.09,O. Henry,Random House Value Publishing,B002DX63KS
Novels and Essays: Vandover and the Brute / McTeague / The Octopus / Essays,Good,7.39,Frank Norris,Library of America,0940450402
Paddington Takes the Air,Good,5.49,Michael Bond,HarperCollins,0062433156
The Essential Hemingway,Good,5.39,Ernest Hemingway,Arrow,0099339315
The Greatest Thing Since Sliced Bread: A Novel,Very Good,4.89,Don Robertson,William Morrow & Company,0061452963
The Children,Good,5.59,Edith Wharton,Scribner Book Company,0684831554
The Wizard of Venus,Good,11.69,Edgar Rice Burroughs,Ace,0441665012
Казаки,Good,14.69,Lev Nikolayevich Tolstoy,Everyman's Library,0679431314
William Faulkner: The Sound and the Fury and As I Lay Dying,Acceptable,6.49,William Faulkner,The Modern Library,B0006AR34U
Kingsblood Royal,New,17.02,Sinclair Lewis,Penguin Random House LLC (No Starch),0375756868
Gruppenbild mit Dame,Acceptable,4.79,Heinrich Böll,Avon Books,0380486377
"Lees Lieutenants Volume 3: A Study in Command, Gettysburg to Appomattox",Good,4.59,Douglas Southall Freeman,Scribner Book Company,0684187507
"David Golder, The Ball, Snow in Autumn, The Courilof Affair",Good,5.09,Irène Némirovsky,Everyman's Library,0307267083
Collected Poetry and Prose,Good,15.49,Wallace Stevens,Library of America,1883011450
The Children of Cthulhu: Chilling New Tales Inspired by H.P. Lovecraft,Very Good,7.79,Richard Laymon,Del Rey Books,0345441087
Macunaíma: The Hero with No Character,Very Good,14.49,Mário de Andrade,King Tide Press,B0BZF9DBHG
Collected Poems and Translations (Library of America),New,30.66,Ralph Waldo Emerson,Library of America,0940450283
The Spoils of Poynton,Good,4.19,Henry James,Penguin Classics,0140432884
Snippy and Snappy,Good,8.89,Wanda Gág,University of Minnesota Press,0816642451
Shadows of Ecstasy,Good,7.29,Charles Williams,William B. Eerdmans Publishing Company,0802812236
Rule Britannia,Good,5.49,Daphne du Maurier,Doubleday Books,0385020384
Knight's Gambit. Six Mystery Stories,Good,7.39,William Faulkner,Knopf Doubleday Publishing Group,0307946797
The House Without Windows,New,13.84,Barbara Newhall Follett,Penguin Group,0241986079
Another Country,Good,12.59,James Baldwin,DELL DELACORTE PRESS,B0026NZL1C
A World to Win,Good,5.09,Upton Sinclair,Viking,999753168X
The First Easter,Good,20.59,Peter Marshall,Chosen Books,0800791207
Beyond This Place,Good,7.19,A.J. Cronin,"Little, Brown and Company",B000OFQZLE
Sarah Orne Jewett : Novels and Stories : Deephaven / A Country Doctor / The Country of the Pointed Firs / Dunnet Landing Stories / Selected Stories & Sketches,Good,8.79,Sarah Orne Jewett,Library of America,0940450747
"The Maltese Falcon, The Thin Man, Red Harvest (Everyman's Library)",Very Good,19.79,Dashiell Hammett,Everyman,1857152638
Les Enfants du Capitaine Grant,Good,10.79,Jules Verne,Kessinger Publishing,1419125818
The Essential Ellison: A 35-Year Retrospective,Good,34.19,Harlan Ellison,Morpheus International,0962344745
"THE ""CANARY"" MURDER CASE : A Philo Vance Story",Very Good,9.99,S.S. Van Dine,Felony & Mayhem,1631941674
A Rage to Live (Modern Library Classics),Good,14.99,John O'Hara,Modern Library,0679602666
Six Plays by Henrik Ibsen,Good,6.19,Henrik Ibsen,Barnes & Noble,1593080611
I Am Woman,Very Good,26.09,Lee Maracle,Raincoast Books,0889740593
The Night Life of the Gods,Like New,15.59,Thorne Smith,Lector House,9353429676
Letting Go,Good,7.39,Philip Roth,Vintage,0679764178
Children of The Albatross,Good,6.39,Anaïs Nin,Ohio University Press,0804000395
Cheerfulness Breaks In,Good,6.69,Angela Thirkell,Carroll & Graf Publishers,0786703180
"Novels 1936–1940: Absalom, Absalom! / The Unvanquished / If I Forget Thee, Jerusalem / The Hamlet",Good,13.89,William Faulkner,Library of America,0940450550
An Outcast of the Islands,Acceptable,4.89,Joseph Conrad,CreateSpace Independent Publishing Platform,1548348791
Look at the Harlequins!,Good,8.79,Vladimir Nabokov,Knopf Doubleday Publishing Group,0679727280
Classic Tales of Science Fiction & Fantasy,New,20.91,Edgar Rice Burroughs,Canterbury Classics,1626868018
The War Chief,Good,9.09,Edgar Rice Burroughs,Ballantine,0345030826
The Bertrams,Acceptable,7.99,Anthony Trollope,Dover Publications,0486251195
"The War of the Worlds, The Invisible Man, & The Time Machine",Good,9.19,H.G. Wells,Everyman's Library,0307593843
Collected Short Stories,New,22.51,Aldous Huxley,Ivan R. Dee Publisher,0929587812
Never Come Morning,Good,9.69,Nelson Algren,Seven Stories Press,1644210444
"The Man Who Shot Liberty Valance: And A Man Called Horse, The Hanging Tree, Lost Sister",Good,6.99,Dorothy M. Johnson,Riverbend,1931832587
Storm Over Warlock,Good,10.29,Andre Norton,Positronic Publishing,1515402525
Sidste Fortællinger,New,18.2,Isak Dinesen,Knopf Doubleday Publishing Group,B00A2OTCRQ
Candide and Zadig,Good,7.99,Voltaire,Washington Square Press,B0033P77ZK
The Kellys and the O'Kellys,Good,6.49,Anthony Trollope,"Oxford University Press, USA",0192815776
Historical Romances: The Prince and the Pauper / A Connecticut Yankee in King Arthur’s Court / Personal Recollections of Joan of Arc,Good,5.59,Mark Twain,Library of America,0940450828
"Novels 1942–1954: Go Down, Moses / Intruder in the Dust / Requiem for a Nun / A Fable",Good,13.09,William Faulkner,Library of America,0940450852
The Tale of Peter Rabbit and Other Stories,Good,27.09,Beatrix Potter,Penguin Publishing Group,0448489473
Anne of Ingleside / Anne's House of Dreams / Anne of Windy Poplars,New,18.44,L.M. Montgomery,Starfire,0553333070
The Alteration,Good,12.09,Kingsley Amis,New York Review of Books,1590176170
Topper Takes a Trip,Good,7.39,Thorne Smith,Random House Publishing Group,0375753079
The Moon Men,Good,7.69,Edgar Rice Burroughs,Ace Books,0441537561
"Collected Tales, Sketches, Speeches, & Essays 1852–1890",Acceptable,8.79,Mark Twain,Library of America,0940450364
A World of Love,Good,6.89,Elizabeth Bowen,Knopf Publishing Group,1400031052
The Chimes: A Goblin Story or Some Bells That Rang an Old Year Out and a New Year In,Very Good,10.39,Charles Dickens,Living Book Press,1761533290
Novels 1955–1962: Lolita / Pnin / Pale Fire / Lolita: A Screenplay,Good,23.69,Vladimir Nabokov,Library of America,1883011191
The Gingerbread Rabbit,Acceptable,6.39,Randall Jarrell,HarperCollins,0060527684
De la Terre à la Lune / Autour de La Lune,Good,4.19,Jules Verne,Wordsworth Editions,1840226706
The Clicking of Cuthbert,Good,10.89,P.G. Wodehouse,Overlook Press,1585672785
"The Poems, Prose and Plays of Pushkin",,0.0,Alexander Pushkin,Random House Canada,0394607627
"Hyperion, oder der Eremit in Griechenland",New,22.95,Friedrich Hölderlin,Open Book Publishers,1783746556
Room at the Top,Acceptable,11.69,John Braine,Valancourt Books,1939140331
New Orleans Sketches,Very Good,10.89,William Faulkner,University Press of Mississippi,160473762X
Robbers  Roost,New,12.13,Zane Grey,Skyhorse Publishing,163220620X
Jalna,Very Good,7.49,Mazo de la Roche,Dundurn Press,1894852230
The Pearl of Orr's Island: A Story of the Coast of Maine,Very Good,15.49,Harriet Beecher Stowe,Arcadia Publishing (SC),1429042656
Bouvard et Pécuchet,Good,9.29,Gustave Flaubert,Dalkey Archive Press,1564783936
"The Defiant Agents (Ross Murdock Series, #3)",Acceptable,4.89,Andre Norton,Ace Books,0441061834
La Mare au diable,Acceptable,7.09,George Sand,Watchmaker Publishing,1603863672
новь,New,15.16,Ivan Turgenev,New York Review of Books,0940322455
While Mrs. Coverlet Was Away,Good,12.99,Mary Nash,Scholastic Book Services,B0007ER4NK
"Prose and Poetry: Maggie: A Girl of the Streets / The Red Badge of Courage / Stories, Sketches, Journalism, The Black Riders / War Is Kind",Good,10.19,Stephen Crane,Library of America,0940450178
Her Forbidden Knight,Good,6.39,Rex Stout,Skyhorse Publishing,1620877260
The Eye of the Story: Selected Essays and Reviews,Good,5.09,Eudora Welty,Knopf Doubleday Publishing Group,0679730044
Later Works: Black Boy (American Hunger) / The Outsider,Good,8.39,Richard Wright,Library of America,0940450674
L’Île des pingouins,Good,7.69,Anatole France,Signet Classics,0451504259
The Veldt,,0.0,Ray Bradbury,Perfection Learning,0895989662
Plague Ship,Good,11.79,Andre Norton,Aegypan,1598188771
Doctor Dolittle's Caravan,Good,9.99,Hugh Lofting,Delacorte Books for Young Readers,0440501172
The Europeans: A Sketch,Good,6.69,Henry James,Penguin Classics,0141441402
Wilderness: A Tale of the Civil War,Very Good,27.49,Robert Penn Warren,Univ Tennessee Press,1572331348
"History, Tales, and Sketches: The Sketch Book / A History of New York / Salmagundi / Letters of Jonathan Oldstyle, Gent.",Good,8.59,Washington Irving,Library of America,0940450143
Three Stories & Ten Poems,Good,10.29,Ernest Hemingway,Ancient Wisdom Publications,1940849942
Anthony Adverse,Acceptable,7.09,Hervey Allen,"Farrar and Rinehart, Inc. On Murray Hill",B000CMHQZ8
The Pearl,Good,7.69,Anonymous,Random House Publishing Group,0345410041
Song of the Silent Snow,Good,11.59,Hubert Selby Jr.,Grove/Atlantic,0802130089
Barchester Towers and The Warden,Acceptable,6.39,Anthony Trollope,Bantam Books,0553211811
Stalky & Co.,Good,8.79,Rudyard Kipling,Oxford University Press,0199555036
Five Novels,New,19.93,Mark Twain,Canterbury Classics,B01BITAICG
I'll Never Be Young Again,Good,6.59,Daphne du Maurier,Virago Press (UK),1844080692
Voyage from Yesteryear,Good,5.69,James P. Hogan,Baen Books,0671577980
The Christmas Stories,Good,9.29,Charles Dickens,"From the Prairie Publications, Inc.",0997281731
Growing Up,Good,7.79,Angela Thirkell,Virago Press (UK),0349013438
Uncollected Stories of William Faulkner,Good,9.99,William Faulkner,Knopf Doubleday Publishing Group,0375701095
Cousin Henry,Good,4.99,Anthony Trollope,Oxford University Press,0199537674
The Fire-Dwellers,Good,10.09,Margaret Laurence,Emblem Editions,0735252831
The Oxford Companion to American Literature,Very Good,7.69,James David Hart,"Oxford University Press, USA",0195065484
Complete Works of Arthur Conan Doyle,Good,24.49,Arthur Conan Doyle,Longmeadow Press,0681319216
The Amateur Cracksman,New,11.93,E.W. Hornung,Mint Editions,1513208160
